node1,node2
0,4911
1,3884
1,5224
1,5621
2,5357
2,5449
3,6419
4,975
4,1732
4,1903
4,2883
4,3055
4,3558
4,5021
4,5421
4,5821
4,6022
4,6058
5,1551
6,2249
7,14
7,229
7,581
7,955
7,1164
7,1969
7,2954
8,5554
9,4066
10,5964
11,5553
12,664
13,2639
14,7
14,4611
15,2005
16,314
16,1297
16,2605
16,2630
16,4941
17,2784
18,4021
19,6220
20,1904
22,622
22,1964
22,3053
23,6315
24,1415
25,1685
26,4931
26,6397
27,5224
28,1649
29,2784
30,6349
31,3700
32,386
32,1519
32,2627
33,3073
34,3352
35,4273
36,120
37,4911
38,1556
38,4553
39,4071
40,1625
41,1120
42,844
42,6163
44,872
44,3767
45,385
45,1894
45,1965
45,2139
45,3023
45,3854
45,4319
45,4874
45,5539
45,5753
46,2784
47,1993
48,5428
49,121
49,796
49,1105
49,1109
49,2459
49,3454
49,4847
49,5436
49,5859
49,5869
49,6379
50,1017
50,5343
51,5285
52,5553
54,5338
55,4911
56,400
56,5467
56,5641
56,5747
57,770
58,972
59,1757
59,2367
59,4238
60,1715
60,3540
61,1449
62,6359
63,2062
64,1544
65,3268
65,3847
66,2756
67,1609
67,3662
68,4006
69,2661
70,2849
71,1794
71,1797
71,1953
71,3223
71,5538
71,5675
72,3992
72,4751
72,4917
72,5752
73,4092
74,5926
75,4785
76,2617
76,2696
76,3372
76,4839
76,5333
76,6050
77,3645
78,5926
79,4583
81,450
82,3018
82,5996
83,3673
84,1942
84,3439
84,5553
85,404
85,1414
85,2077
85,3738
85,5047
85,6389
86,5553
87,5119
87,5760
88,2587
89,4505
90,1384
91,502
92,849
92,1575
92,2402
92,2542
92,4030
93,1354
94,477
94,3365
95,534
95,3137
96,4409
97,2980
97,3864
97,5667
97,5945
98,1750
98,2124
99,5040
100,606
100,969
100,2234
100,2534
100,2737
101,5908
102,4371
103,848
103,3648
103,3889
103,4157
104,3441
105,1369
105,5477
106,2902
106,3570
