node1,node2
6455,1625
6455,2098
6455,3509
6455,4026
6455,4813
6455,5621
6455,5961
6460,186
6460,882
6460,1251
6460,2403
6460,2738
6460,3758
6460,3930
6460,4139
6460,5597
6460,5919
6469,186
6469,882
6469,898
6469,1467
6469,2994
6469,3887
6469,5027
6474,186
6474,882
6474,1618
6474,2547
6474,4242
6474,5879
6474,5988
6476,186
6476,917
6476,1648
6476,2105
6476,2247
6476,3018
6476,3221
6476,3921
6476,3968
6477,186
6477,652
6477,882
6477,2225
6477,2227
6477,5588
6477,5897
6482,186
6482,640
6482,1295
6482,1301
6482,1589
6482,2206
6482,2733
6482,2931
6482,3968
6482,4927
6482,5024
6482,5933
6488,186
6488,2921
6488,5392
6488,5961
6493,92
6493,116
6493,186
6493,226
6493,233
6493,315
6493,341
6493,387
6493,652
6493,664
6493,683
6493,720
6493,1245
6493,1247
6493,1251
6493,1358
6493,1364
6493,1375
6493,1384
6493,1396
6493,1430
6493,1585
6493,1589
6493,1648
6493,1818
6493,2006
6493,2034
6493,2106
6493,2120
6493,2201
6493,2208
6493,2227
6493,2279
6493,2402
6493,2403
6493,2437
6493,2540
6493,2587
6493,2733
6493,2754
6493,2900
6493,2905
6493,2921
6493,2931
6493,2969
6493,3063
6493,3221
6493,3295
6493,3397
6493,3414
6493,3449
6493,3611
6493,3754
6493,3758
6493,3803
6493,3890
6493,3930
6493,3940
6493,4242
6493,4265
6493,4316
6493,4409
6493,4437
6493,4535
6493,4536
6493,4549
6493,4565
6493,4628
6493,4692
6493,4810
6493,4813
6493,4885
6493,4911
6493,4971
6493,5010
6493,5027
6493,5144
6493,5235
6493,5321
6493,5382
6493,5470
6493,5474
6493,5553
6493,5588
6493,5591
6493,5597
6493,5615
6493,5621
6493,5657
6493,5865
6493,5961
6493,6064
6493,6078
6493,6178
6493,6243
6493,6271
6493,6309
6493,6324
6495,162
6495,186
6495,882
6495,3968
6499,186
6499,609
6499,618
6499,872
6499,882
6499,1097
6499,1301
6499,1360
6499,1455
6499,1517
6499,1844
6499,1992
6499,2018
6499,2206
6499,2491
6499,3099
6499,3221
6499,3968
6499,4466
6499,4701
6499,4813
6499,5033
6499,5313
6499,5621
6499,5961
6500,186
6500,717
6500,882
6500,1297
6500,2213
6500,2491
6500,3501
6500,4813
6500,4887
6500,4971
6500,5621
6500,5628
6500,5960
6500,5961
6500,6441
6503,183
6503,186
6503,387
6503,652
6503,683
6503,882
6503,892
6503,1467
6503,1618
6503,1998
6503,2006
6503,2034
6503,2227
6503,2540
6503,2963
6503,3295
6503,3344
6503,3414
6503,3429
6503,3481
6503,3729
6503,3887
6503,4129
6503,4242
6503,4355
6503,4758
6503,4813
6503,5027
6503,5084
6503,5217
6503,5588
6503,5615
6503,5952
6503,5988
6509,162
6509,1517
6509,3099
6509,3221
6509,4466
6510,186
6510,1815
6510,5553
6510,6309
6511,186
6511,1081
6511,1810
6511,2259
6511,2931
6511,3819
6511,4067
6511,4262
6511,4813
6511,5293
6511,5298
6511,5621
6511,5961
6511,6207
6523,186
6523,1259
6523,2201
6523,4828
6523,5676
6523,6236
6524,186
6524,2733
6524,2931
6529,186
6529,5553
6529,5770
6529,6309
6532,186
6532,1394
6532,1430
6532,1648
6532,3221
6532,3731
6532,5657
6536,186
6536,1295
6536,1589
6536,2733
6536,5024
6536,5933
6542,186
6542,445
6542,652
6542,683
6542,882
6542,906
6542,967
6542,1396
6542,1663
6542,1852
6542,2102
6542,2140
6542,2201
6542,2208
6542,2587
6542,2733
6542,2905
6542,3397
6542,3478
6542,3924
6542,4765
6542,4802
6542,4813
6542,4970
6542,4971
6542,5273
6542,5440
6542,5615
6542,5621
6542,5961
6542,6243
6542,6309
6542,6402
6542,6420
6543,186
6543,1436
6543,3476
6543,3516
6543,4327
6543,4813
6543,5621
6543,5920
6543,5961
6543,6058
6545,186
6545,882
6545,1251
6545,3803
6545,4094
6545,4971
6545,5597
6545,6105
6546,186
6546,226
6546,488
6546,489
6546,588
6546,652
6546,683
6546,720
6546,851
6546,882
6546,892
6546,905
6546,1043
6546,1072
6546,1259
6546,1266
6546,1863
6546,1969
6546,2201
6546,2287
6546,2399
6546,2905
6546,2963
6546,2969
6546,3352
6546,3389
6546,3429
6546,3729
6546,3752
6546,3758
6546,3803
6546,3890
6546,4355
6546,4516
6546,4692
6546,4810
6546,4813
6546,4971
6546,5084
6546,5217
6546,5591
6546,5615
6546,5621
6546,5676
6546,5961
6546,6058
6546,6070
6546,6178
6546,6236
6546,6271
6546,6309
6546,6376
6549,186
6549,882
6549,1467
6549,1993
6549,5027
6551,186
6551,226
6551,609
6551,683
6551,882
6551,1301
6551,1375
6551,1992
6551,2304
6551,2491
6551,4628
6551,4701
6552,186
6552,300
6552,1625
6552,2098
6552,2921
6552,2965
6552,2969
6552,3449
6552,3476
6552,3509
6552,3952
6552,4026
6552,4361
6552,4813
6552,5084
6552,5174
6552,5392
6552,5621
6552,5961
6552,6058
6552,6097
6552,6376
6552,6397
6553,186
6553,882
6553,1430
6553,1585
6553,3221
6553,5657
6561,16
6561,186
6561,226
6561,246
6561,683
6561,882
6561,1297
6561,2201
6561,3808
6561,3940
6561,4542
6561,4971
6561,5615
6561,5682
6565,186
