node1,node2
0,21534
0,25242
0,26099
0,26748
0,31026
0,37480
1,28959
1,36004
3,21534
3,22384
3,22941
3,24574
3,25239
3,25320
3,25853
3,26500
3,26952
3,27088
3,29818
3,31026
3,31608
3,31887
3,32768
3,33044
3,33502
3,34139
3,34765
3,36506
3,36943
3,37655
3,38202
3,38394
3,39065
3,39449
3,39484
4,26032
4,26588
4,27088
4,31834
4,32825
4,33585
4,34161
4,34296
4,35193
4,36004
4,37543
4,37707
5,30367
5,32837
5,36004
5,36483
5,39382
7,21534
7,21798
7,25373
7,25797
7,26008
7,26203
7,27088
7,27819
7,28168
7,28919
7,29209
7,29888
7,29986
7,32064
7,32300
7,33739
7,34161
7,35071
7,35548
7,36371
7,36951
7,38101
7,38108
7,38366
7,39148
7,39520
8,21534
8,22404
8,23269
8,23838
8,24208
8,24923
8,25217
8,25617
8,25640
8,26211
8,27088
8,28925
8,29681
8,29986
8,32087
8,32459
8,33496
8,33897
8,34917
8,36096
8,38366
8,38372
9,21534
9,22005
9,22570
9,25217
9,26559
9,27088
9,27505
9,29281
9,31952
9,33702
10,26979
10,28850
10,28959
10,30333
10,33605
10,35953
10,38722
11,23277
11,26580
11,28765
11,31834
11,38152
11,38779
12,24131
12,28959
12,31834
12,33874
12,37070
12,38101
12,38210
13,23864
13,28290
13,36004
14,21534
14,24010
14,25174
14,31518
14,32087
14,36017
14,37471
14,38513
15,27556
15,28893
15,30063
15,35323
15,36004
15,36031
15,36050
17,21534
17,22633
17,22779
17,26018
17,28181
17,29784
17,32087
17,35071
17,35142
17,37850
17,38366
18,21534
18,21641
18,23663
18,25283
18,27088
18,27388
18,29528
18,30301
18,31518
18,31629
18,32087
18,34857
18,36017
18,37471
18,37687
18,37986
18,38106
18,38762
19,22499
19,30772
19,34182
19,36187
19,36592
19,39158
20,22499
20,33605
21,21401
21,21534
21,22237
21,23905
21,25217
21,27195
21,27621
21,29109
21,29986
21,31329
21,31914
21,32653
21,33047
21,35689
21,35769
21,37480
21,38327
22,24158
22,24620
22,36004
23,21562
23,23149
23,24775
23,25028
23,25242
23,26008
23,26101
23,26510
23,27088
23,27474
23,28529
23,29025
23,30414
23,30647
23,31097
23,33008
23,33450
23,33502
23,33778
23,34618
23,34901
23,36260
23,37070
23,37305
23,37786
23,37901
23,37905
23,38077
23,38612
23,39111
25,30301
26,21534
26,23649
26,26559
26,26979
26,27088
26,27509
26,27529
26,29281
26,29825
26,30092
26,30333
26,31552
26,33256
26,33466
26,33773
26,34296
26,34452
26,34653
26,35495
26,36004
26,36797
26,37015
26,37318
26,37666
26,37766
26,37980
26,38492
26,39410
27,25242
27,30647
27,32087
29,22060
29,22226
29,22778
29,23594
29,23830
29,24472
29,25097
29,25242
29,25527
29,25618
29,26372
29,26494
29,26548
29,26612
29,27005
29,27088
29,28292
29,28408
29,28436
29,31097
29,31596
29,32894
29,33502
29,34339
29,34580
29,35789
29,36167
29,37334
29,37729
29,38366
29,39598
30,25242
30,26097
30,27671
30,27874
30,33502
30,34182
30,36218
30,38420
31,21803
31,27673
31,30301
31,32047
31,35809
31,36050
31,36218
32,21361
32,23864
32,26394
32,27948
32,28959
32,31316
32,33605
32,34143
32,34182
32,34819
32,34988
32,35807
32,36339
32,36922
32,38228
32,39036
32,39400
33,21401
33,21534
33,24968
33,25217
33,25474
33,28181
33,29986
33,31073
33,36048
34,22515
34,24831
34,27088
34,28959
34,33874
34,36512
34,36926
35,21361
35,21790
35,23298
35,24538
35,26701
35,27088
35,27413
35,27983
35,28959
35,30333
35,32711
35,32906
35,33605
35,33874
35,34182
35,34584
35,36050
35,36357
35,37559
35,39151
36,21534
36,27088
36,36050
37,21534
37,28511
37,29528
37,31026
37,31518
37,32087
37,36017
37,37070
37,37471
37,37687
37,38202
38,23309
38,25251
38,26394
38,26911
38,27088
38,29788
38,30831
38,31221
38,32378
38,33605
38,35807
38,36087
38,39155
39,32087
39,32947
40,21534
40,21553
40,21946
40,22334
40,22402
40,22424
40,22633
40,23310
40,23429
40,23432
40,23436
40,23486
40,23917
40,24154
40,24369
40,24845
40,24862
40,25242
40,25620
40,26023
40,26032
40,26395
40,26409
40,27043
40,27088
40,27290
40,27417
40,27523
40,27830
40,28181
40,28591
40,28810
40,28959
40,29095
40,29181
40,29281
40,29540
40,29663
40,29832
40,29885
40,30454
40,30842
40,30917
40,31231
40,31339
40,31675
40,31755
40,31809
40,32638
40,32711
40,32829
40,33000
40,33502
40,33605
40,33965
40,34161
40,34182
40,34218
40,34304
40,34395
40,34494
40,35071
40,35264
40,35548
40,35671
40,36004
40,36050
40,36581
40,36738
40,36824
40,37104
40,37173
40,37178
40,37324
40,37494
40,37808
40,38083
40,38312
40,38366
40,38594
40,38632
40,38809
40,38834
40,38889
40,39034
40,39098
40,39160
40,39283
40,39342
41,23366
41,25174
41,26693
41,27018
41,27088
41,28959
41,29822
41,31834
41,37070
41,38221
42,23802
42,23960
42,24925
42,25108
42,25174
42,27088
42,28959
42,33605
42,35636
42,35642
42,36004
42,38152
42,39095
42,39206
43,22070
43,22652
43,28413
43,29268
43,29788
43,31530
43,32087
43,36050
43,37110
44,23867
44,31693
44,32638
44,32947
44,33630
44,34304
44,36050
44,38957
45,27088
45,32087
46,21534
46,23663
46,25405
46,25582
46,27088
46,32087
46,32947
46,33496
46,33502
46,37070
46,38160
46,38535
47,21484
47,21534
47,22686
47,22776
47,23080
47,23149
47,24472
47,25158
47,25663
47,26035
47,26167
47,26911
47,27088
47,27410
47,27474
47,29281
47,29509
47,30232
47,30279
47,30301
47,30365
47,30744
47,32087
47,32732
47,33008
47,33232
47,33311
47,33450
47,33502
47,34870
47,35428
47,35703
47,35972
47,36004
47,36241
47,37138
47,38105
47,38286
47,39235
48,21911
48,24389
48,27062
48,27088
48,27426
48,29256
48,31297
48,32535
48,32827
48,33564
48,33932
48,36004
48,36050
48,37411
48,37966
48,38366
48,39505
49,21574
49,22092
49,23443
49,24142
49,24499
49,25822
49,26954
49,26974
49,27088
49,27882
49,28959
49,29101
49,29901
49,30036
49,30215
49,32751
49,33605
49,36081
49,37506
49,37691
49,38152
50,21356
50,21494
50,21842
50,21934
50,21974
50,22237
50,22613
50,23821
50,23905
50,24015
50,24069
50,24373
50,24507
50,24538
50,24672
50,25217
50,25242
50,25339
50,25417
50,25671
50,26285
50,26507
50,26612
50,27005
50,27088
50,27847
50,28137
50,28286
50,28484
50,29269
50,29509
50,29540
50,29665
50,30061
50,30312
50,30588
50,30798
50,31212
50,31363
50,31421
50,31953
50,32127
